picture number,D435i
2.png,[-4.68102073  4.55279547 25.69464365]
1.png,[-4.68673122  4.50925524 25.8332528 ]
3.png,[-1.78389346  2.08910826 28.04536211]
2.png,[-4.68102073  4.55279547 25.69464365]
4.png,[-4.71286982  4.51813641 25.64928664]
1.png,[-4.68673122  4.50925524 25.8332528 ]
3.png,[-1.78389346  2.08910826 28.04536211]
2.png,[-4.68102073  4.55279547 25.69464365]
4.png,[-4.71286982  4.51813641 25.64928664]
5.png,[-1.72227685  2.05540998 28.31455535]
1.png,[-4.68673122  4.50925524 25.8332528 ]
3.png,[-1.78389346  2.08910826 28.04536211]
